10023867351, Planar, PSS-co-MA/PEG, Acrylate, Circular, KCl, DI water, DMSO, NaCl, nM, nM, 2,33, 3,0, 4,0, 3,0, 2,0, 4,0, 4,0, 1,0
Number of channels: 18
00:00:05, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:05, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:06, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:06, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:06, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:06, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
